school_id,school_name
10288,울산과학기술대학교
10289,울산과학대학교
10290,울산대학교
10291,웅지세무대학교
10292,원광대학교
10293,원광디지털대학교
10294,원광보건대학교
10295,위덕대학교
10296,유한대학교
10297,을지대학교(대전)
10298,을지대학교(성남)
10299,이화여자대학교
10300,인덕대학교
10301,인제대학교(김해)
10302,인제대학교(서울)
10303,인제대학교(부산)
10304,인천가톨릭대학교(강화)
10305,인천가톨릭대학교(송도)
10306,인천대학교
10307,인천재능대학교
10308,인하공업전문대학
10309,인하대학교
10310,장로회신학대학교
10311,장안대학교
10312,전남과학대학교
10313,전남대학교(광주)
10314,전남대학교(여수)
10315,전남도립대학교
10316,전북과학대학교
10317,전북대학교
10318,전주교육대학교
10319,전주기전대학
10320,전주대학교
10321,전주비전대학교
10322,정석대학
10323,정화예술대학(명동)
10324,정화예술대학(남산)
10325,제주관광대학교
10326,제주국제대학교
10327,제주대학교
10328,제주한라대학교
10329,조선간호대학교
10330,조선대학교
10331,조선이공대학교
10332,중부대학교
10333,중앙대학교(서울)
10334,중앙대학교(안성)
10335,중앙승가대학교
10336,중원대학교
10337,진주교육대학교
10338,진주보건대학교
10339,차의과학대학교
10340,창신대학교
10341,창원대학교
10342,창원문성대학
10343,천안연암대학
10344,청강문화산업대학교
10345,청암대학교
10346,청운대학교
10347,청주교육대학교
10348,청주대학교
10349,초당대학교
10350,총신대학교
10351,추계예술대학교
10352,춘천교육대학교
10353,춘해보건대학교
10354,충남도립청양대학
10355,충북대학교
10356,충북도립대학
10357,충북보건과학대학교
10358,충청대학교
10359,침례신학대학교
10360,칼빈대학교
10361,평택대학교
10362,포스코기술대학(포항)
10363,포스코기술대학(광양)
10364,포항공과대학교
10365,포항대학교
10366,한경대학교
10367,한국골프대학
10368,한국관광대학교
10369,한국교원대학교
10370,한국교통대학교
10371,한국국제대학교
10372,한국기술교육대학교
10373,한국농수산대학
10374,한국방송통신대학교
10375,한국복지대학교
10376,한국복지사이버대학
10377,한국산업기술대학교
10378,한국성서대학교
10379,한국승강기대학교
10380,한국영상대학교
10381,한국예술종합학교
10382,한국외국어대학교(서울)
10383,한국외국어대학교(글로벌)
10384,한국전통문화대학교
10385,한국전통문화대학교(일반)
10386,한국정보통신기능대학
10387,한국체육대학교
10388,한국폴리텍 I 대학(서울강서)
10389,한국폴리텍 I 대학(서울정수)
10390,한국폴리텍 I 대학(성남)
10391,한국폴리텍 II 대학(인천)
10392,한국폴리텍 III 대학(강릉)
10393,한국폴리텍 III 대학(춘천)
10394,한국폴리텍 IV 대학(대전)
10395,한국폴리텍 IV 대학(아산)
10396,한국폴리텍 IV 대학(청주)
10397,한국폴리텍 IV 대학(홍성)
10398,한국폴리텍 V 대학(광주)
10399,한국폴리텍 V 대학(김제)
10400,한국폴리텍 V 대학(목포)
10401,한국폴리텍 V 대학(익산)
10402,한국폴리텍 VI 대학(구미)
10403,한국폴리텍 VI 대학(대구)
10404,한국폴리텍 VI 대학(영주)
10405,한국폴리텍 VII 대학(부산)
10406,한국폴리텍 VII 대학(울산)
10407,한국폴리텍 VII 대학(창원)
10408,한국폴리텍 특성화대학(바이오)
10409,한국폴리텍 특성화대학(섬유패션)
10410,한국폴리텍 특성화대학(안성여자)
10411,한국폴리텍 특성화대학(항공)
10412,한국항공대학교
10413,한국해양대학교
10414,한남대학교
10415,한동대학교
10416,한라대학교
10417,한려대학교
10418,한림대학교
10419,한림성심대학교
10420,한밭대학교
10421,한서대학교
10422,한성대학교
10423,한세대학교
10424,한신대학교
10425,한양대학교(서울)
10426,한양대학교(ERICA)
10427,한양사이버대학교
10428,한양여자대학교
10429,한영대학
10430,한영신학대학교
10431,한일장신대학교
10432,한중대학교
10433,현대중공업공과대학
10434,협성대학교
10435,혜전대학교
10436,혜천대학교
10437,호남대학교
10438,호남신학대학교
10439,호서대학교
10440,호원대학교
10441,홍익대학교(서울)
10442,홍익대학교(세종)
10443,화신사이버대학교
