lecture_id,classroom_id,day,starttime,endtime
10185,1004021,1,1500,1630
10185,1004021,4,1630,1800
10186,1004021,2,1030,1200
10186,1004021,5,1330,1500
10187,1004021,2,1330,1500
10187,1004021,4,1030,1200
10188,1004021,2,900,1030
10188,1004021,5,1500,1630
10189,1004021,3,1500,1630
10189,1004021,5,900,1030
10190,1004021,3,1630,1800
10190,1004021,5,1030,1200
10191,1004021,3,1330,1500
10191,1004021,5,1200,1330
10192,1004021,1,1630,1800
10192,1004021,3,1200,1330
10193,1004021,1,1330,1500
10193,1004021,3,900,1030
10194,1004021,1,1200,1330
10194,1004021,3,1030,1200
10195,1004021,2,1630,1800
10195,1004021,4,1200,1330
10196,1004021,2,1500,1630
10196,1004021,4,900,1030
10197,1012011,1,1630,1800
10197,1012011,3,1200,1330
10198,1023017,4,1000,1200
10199,1023009,4,1300,1500
10200,1023022,4,1000,1200
10201,1023036,1,1000,1200
10202,1023002,2,1600,1800
10203,1023022,4,1600,1800
10204,1012023,2,1330,1500
10204,1012023,4,1000,1130
10205,1012023,2,1500,1630
10205,1012023,4,1130,1300
10206,1012026,2,1030,1200
10206,1012026,5,1330,1500
10207,1012020,3,1330,1500
10207,1012020,5,1200,1330
10208,1012010,1,1630,1800
10208,1012010,3,1200,1330
10209,1012010,1,1500,1630
10209,1012010,4,1630,1800
10210,1012010,1,1030,1200
10210,1012010,4,1330,1500
10211,1012010,1,1200,1330
10211,1012010,3,1030,1200
10212,1023015,2,1330,1500
10212,1023015,4,1030,1200
10213,1023015,2,1500,1630
10213,1023015,4,900,1030
10214,1012014,1,1500,1630
10214,1012014,4,1630,1800
10215,1012009,1,1400,1600
10215,1012009,3,900,1000
10216,1023036,1,1200,1400
10217,1023017,5,1000,1200
10218,1023017,4,1400,1600
10219,1023002,1,1300,1500
10220,1023015,4,1400,1600
10221,1023015,4,1600,1800
10222,1004017,2,1500,1700
10223,1004017,1,1300,1500
10224,1004015,1,1500,1700
10226,1004015,3,1500,1700
10227,1004015,5,1000,1200
10228,1004015,5,1300,1500
10229,1004016,1,1000,1200
10230,1004016,1,1400,1600
10231,1004016,1,1600,1800
10232,1004016,2,1000,1200
10233,1004016,2,1300,1500
10234,1004016,2,1600,1800
10235,1004016,3,1400,1600
10236,1004016,3,1600,1800
10237,1004016,4,1000,1200
10238,1004016,4,1300,1500
10239,1004016,4,1600,1800
10240,1004016,5,1000,1200
10241,1004016,1,1900,2100
10242,1004015,2,1000,1200
10243,1004015,2,1300,1500
10244,1004017,3,1500,1700
10245,1004015,3,1000,1200
10246,1004018,3,1500,1700
10247,1004015,4,1300,1500
10248,1004015,4,1500,1700
10249,1004017,3,1300,1500
10250,1004017,5,1000,1200
10251,1004015,3,1300,1500
10252,1004017,1,1000,1200
10253,1004017,2,1000,1200
10254,1004017,2,1300,1500
10255,1004017,3,1000,1200
10256,1004017,4,1000,1200
10257,1004017,4,1300,1500
10258,1004018,3,1300,1500
10259,1012022,1,1330,1500
10259,1012022,3,900,1030
10260,1012013,1,1200,1330
10260,1012013,3,1030,1200
10261,1023010,1,1500,1630
10261,1023010,4,1630,1800
10262,1023022,2,1300,1500
10262,1023022,5,1200,1300
10264,1023015,1,1600,1800
10264,1023015,3,1300,1400
10265,1023015,2,1000,1200
10265,1023015,5,1300,1400
10266,1023015,2,1700,1800
10267,1023038,2,1300,1400
10267,1023038,4,1000,1200
10268,1023038,2,1400,1600
10268,1023038,4,900,1000
10269,1023036,3,1700,1800
10269,1023038,5,1000,1200
10270,1023038,1,1600,1800
10270,1023038,3,1200,1300
10271,1023038,3,1500,1700
10271,1023038,5,900,1000
10272,1023037,1,1300,1400
10272,1023037,3,1000,1200
10273,1023038,1,1000,1200
10273,1023038,4,1300,1400
10274,1023037,2,1300,1400
10274,1023037,4,1000,1200
10275,1023037,3,1500,1700
10275,1023037,5,1200,1300
10276,1023037,1,1600,1800
10276,1023037,3,1200,1300
10277,1023036,1,1400,1600
10278,1023021,2,1000,1200
10279,1023022,5,1000,1200
10280,1023031,2,1400,1600
10280,1023031,4,900,1000
10281,1023031,1,1000,1200
10281,1023031,4,1300,1400
10283,1023038,3,1300,1500
10283,1023038,5,1200,1300
10284,1023013,2,1600,1800
10284,1023013,4,1200,1300
10285,1023037,2,1600,1800
10285,1023037,4,1200,1300
10286,1023015,1,1300,1400
10286,1023015,3,1000,1200
10287,1023015,1,1400,1600
10287,1023015,3,900,1000
10288,1023037,2,1000,1200
10288,1023037,4,1600,1700
10289,1023037,1,1000,1200
